Flight No,Type,Date,Origin,Departure Time,Arrival Time,Destination,IsDome
CA195,A340,1234567,上海浦东,1430-,1625-,桃园,港澳
CA196,A340,1234567,桃园,1735-,1940-,上海浦东,港澳
CA111,B777-200,1234567,北京首都,0930-,1305-,香港,港澳
CA112,B777-200,1234567,香港,1410-,1740-,北京首都,港澳
CA109,A330,1234567,北京首都,1300-,1625-,香港,港澳
CA110,A330,1234567,香港,1730-,2110-,北京首都,港澳
CA417,A330,.2.4.67,成都,1530-,1840-,桃园,港澳
CA418,A330,.2.4.67,桃园,1950-,2315-,成都,港澳
CA185,A330-300,1234567,北京首都,0835-,1145-,桃园,港澳
CA186,A330-300,1234567,桃园,1615-,1940-,北京首都,港澳
CA189,A330-300,12.4.6.,北京首都,1405-,1710-,桃园,港澳
CA190,A330-300,12.4...,桃园,1825-,2155-,北京首都,港澳
CA190,A330-300,.....6.,桃园,1825-,2200-,北京首都,港澳
CA101,A321,1234567,北京首都,0805-,1135-,香港,港澳
CA102,A321,123.5.7,香港,1625-,1940-,北京首都,港澳
CA102,A321,...4.6.,香港,1525-,1840-,北京首都,港澳
CA107,A321,1234567,北京首都,1830-,2200-,香港,港澳
CA108,A321,1234567,香港,1030-,1355-,北京首都,港澳
CA115,A321,1234567,北京首都,1530-,1900-,香港,港澳
CA116,A321,1234567,香港,2000-,2325-,北京首都,港澳
CA117,A321,1234567,北京首都,1730-,2105-,香港,港澳
CA118,A321,.....6.,香港,0730-,1055-,北京首都,港澳
CA118,A321,12345.7,香港,0600-,0925-,北京首都,港澳
CA149,A321,1234567,杭州,0930-,1120-,桃园,港澳
CA150,A321,1234567,桃园,1220-,1415-,杭州,港澳
CA411,A321,1234567,成都,0755-,1010-,香港,港澳
CA412,A321,1234567,香港,1110-,1345-,成都,港澳
CA427,A321,1234567,成都,1620-,1845-,香港,港澳
CA428,A321,1234567,香港,1945-,2230-,成都,港澳
CA103,B737-800,1234567,天津,0835-,1150-,香港,港澳
CA104,B737-800,1234567,香港,1250-,1605-,天津,港澳
CA105,B737-800,1234567,大连,1255-,1625-,香港,港澳
CA106,B737-800,1234567,香港,1725-,2100-,大连,港澳
CA187,B737-800,....5.7,天津,1445-,1745-,台北松山,港澳
CA188,B737-800,....5.7,台北松山,1845-,2145-,天津,港澳
CA197,B737-800,.2.456.,上海虹桥,1200-,1400-,台北松山,港澳
CA198,B737-800,.2.456.,台北松山,1500-,1645-,上海虹桥,港澳
CA409,B737-800,.23.567,重庆,1520-,1820-,桃园,港澳
CA410,B737-800,.23.567,桃园,1920-,2230-,重庆,港澳
CA119,A320,.23.567,武汉,1430-,1610-,澳门,港澳
CA120,A320,.23.567,澳门,1710-,1855-,武汉,港澳
CA835,A320,1.3.5..,温州,1200-,1325-,桃园,港澳
CA836,A320,1.3.5..,桃园,1430-,1550-,温州,港澳
CA141,B737-700,.2.....,天津,0830-,1140-,台中,港澳
CA142,B737-700,.2.....,台中,1240-,1550-,天津,港澳
CA419,B737,1234567,重庆,1510-,1725-,香港,港澳
CA420,B737,1234567,香港,1825-,2100-,重庆,港澳
CA1003,B747-400F,1234567,上海浦东,0010-,0255-,香港,港澳
CA1004,B747-400F,..3.5.7,香港,0450-,0710-,上海浦东,港澳
CA1004,B747-400F,12.4.6.,香港,0455-,0710-,上海浦东,港澳
CA1091,B747-400F,..3.56.,上海浦东,0040-,0230-,桃园,港澳
CA1092,B747-400F,..3.56.,桃园,0450-,0640-,上海浦东,港澳
CZ3097,B777-200B,1234567,广州,1130-,1330-,桃园,港澳
CZ3098,B777-200B,1234567,桃园,1430-,1635-,广州,港澳
CZ639,B757-200,1..4.6.,乌鲁木齐,1735-,2315-,桃园,港澳
CZ640,B757-200,.2..5.7,桃园,0045-,0710-,乌鲁木齐,港澳
CZ3051,A321,1..4.6.,长春,0755-,1120-,桃园,港澳
CZ3052,A321,...4.6.,桃园,1220-,1540-,长春,港澳
CZ3052,A321,1......,桃园,1335-,1705-,长春,港澳
CZ3087,A321,...4...,深圳,1025-,1215-,桃园,港澳
CZ3087,A321,1.3.567,深圳,0940-,1130-,桃园,港澳
CZ3088,A321,...4...,桃园,1315-,1445-,深圳,港澳
CZ3088,A321,1.3.567,桃园,1315-,1445-,深圳,港澳
CZ309,A321,1234567,香港,1320-,1710-,北京首都,港澳
CZ3095,A321,1.34567,上海浦东,1405-,1605-,桃园,港澳
CZ3096,A321,1.34567,桃园,1720-,1925-,上海浦东,港澳
CZ310,A321,1234567,北京首都,0840-,1220-,香港,港澳
CZ6049,A321,..3....,长春,0755-,1120-,台中,港澳
CZ6050,A321,..3....,台中,1220-,1540-,长春,港澳
CZ3015,B737-800,....5..,武汉,1420-,1655-,桃园,港澳
CZ3016,B737-800,....5..,桃园,1755-,2030-,武汉,港澳
CZ3019,B737-800,1.345.7,桂林,1200-,1400-,桃园,港澳
CZ3020,B737-800,1.34..7,桃园,1450-,1650-,桂林,港澳
CZ3020,B737-800,....5..,桃园,1505-,1705-,桂林,港澳
CZ3021,B737-800,1.3456.,贵阳,1735-,2015-,桃园,港澳
CZ3022,B737-800,1.3456.,桃园,2115-,2340-,贵阳,港澳
CZ3023,B737-800,1.3.5.7,郑州,0820-,1050-,桃园,港澳
CZ3024,B737-800,1.3.5.7,桃园,1150-,1420-,郑州,港澳
CZ3045,B737-800,.2.4.6.,南宁,1700-,1940-,桃园,港澳
CZ3046,B737-800,.2.4.6.,桃园,2040-,2320-,南宁,港澳
CZ3075,B737-800,1234567,武汉,0845-,1035-,香港,港澳
CZ3076,B737-800,1234567,香港,1135-,1320-,武汉,港澳
CZ3093,B737-800,.2.4..7,武汉,1400-,1645-,高雄,港澳
CZ3094,B737-800,.2.4..7,高雄,1745-,2045-,武汉,港澳
CZ3009,A320,1.3.5..,哈尔滨,0800-,1130-,桃园,港澳
CZ3010,A320,1.3.5..,桃园,1230-,1600-,哈尔滨,港澳
CZ3011,A320,1..4.6.,沈阳,1500-,1805-,桃园,港澳
CZ3012,A320,1..4.6.,桃园,1905-,2155-,沈阳,港澳
CZ3017,A320,12..5..,长沙,0820-,1040-,桃园,港澳
CZ3018,A320,12..5..,桃园,2100-,2310-,长沙,港澳
CZ3025,A320,12..5..,张家界,1530-,1830-,桃园,港澳
CZ3026,A320,12..5..,桃园,1140-,1440-,张家界,港澳
CZ633,A320,1234567,长春,1010-,1430-,广州,港澳
CZ634,A320,1234567,香港,1755-,1900-,广州,港澳
CZ635,A320,..3.5.7,沈阳,1500-,1905-,香港,港澳
CZ636,A320,..3.5.7,香港,2005-,2355-,沈阳,港澳
CZ3073,B737-300,1234567,郑州,0830-,1100-,香港,港澳
CZ3074,B737-300,1234567,香港,1200-,1410-,郑州,港澳
CZ311,B737-300,1234567,揭阳潮汕,0910-,1005-,香港,港澳
CZ312,B737-300,1234567,香港,1105-,1200-,揭阳潮汕,港澳
CZ3013,A319,......7,大连,1455-,1745-,桃园,港澳
CZ3013,A319,..3....,大连,1500-,1745-,桃园,港澳
CZ3014,A319,..3...7,桃园,1845-,2120-,大连,港澳
CZ341,EMB190,1...5..,梅州,1240-,1405-,香港,港澳
CZ342,EMB190,1...5..,香港,1455-,1605-,梅州,港澳
MU5005,A330-200,1.3....,上海浦东,1600-,1740-,桃园,港澳
MU5005,A330-200,....5.7,上海浦东,1600-,1740-,桃园,港澳
MU5006,A330-200,....5.7,桃园,1840-,2020-,上海浦东,港澳
MU5006,A330-200,1.3....,桃园,1840-,2020-,上海浦东,港澳
MU2027,A330-300,.2.4.6.,昆明,0840-,1145-,桃园,港澳
MU2028,A330-300,.....6.,桃园,1245-,1555-,昆明,港澳
MU2028,A330-300,.2.4...,桃园,1245-,1600-,昆明,港澳
MU5007,A330-300,1234567,上海浦东,1230-,1400-,桃园,港澳
MU5008,A330-300,1234567,桃园,1500-,1640-,上海浦东,港澳
