Flight No,Type,Date,Origin,Departure Time,Arrival Time,Destination,IsDome
MU2306,320,1234567,广州,1920,2200,西安,国内
MU2307,320,1234567,西安,1950,2135,桂林,国内
MU2308,320,1234567,桂林,2220,5,西安,国内
MU2309,320,..3....,浦东,2000,2325,西宁,国内
MU2309,320,12.456.,浦东,1835,2200,西宁,国内
MU2309,320,......7,浦东,1915,2240,西宁,国内
MU2310,320,..3...7,西宁,1520,1820,浦东,国内
MU2310,320,12.456.,西宁,1430,1730,浦东,国内
MU2315,320,1234567,昆明,1825,1920,景洪,国内
MU2316,320,1234567,景洪,2020,2120,昆明,国内
MU2317,320,1234567,烟台,850,1020,虹桥,国内
MU2318,320,1234567,浦东,2125,2305,烟台,国内
MU2319,320,1234567,西安,810,945,井冈山,国内
MU2320,320,1234567,深圳,1220,1320,井冈山,国内
MU2323,320,1234567,嘉峪关,1850,2055,西安,国内
MU2324,320,1234567,广州,650,915,西安,国内
MU2325,320,1234567,兰州,740,840,西安,国内
MU2326,320,1234567,深圳,1255,1540,西安,国内
MU2329,320,1234567,西安,725,910,桂林,国内
MU2330,320,1234567,桂林,1010,1200,西安,国内
MU2337,320,1234567,济南,1220,1425,兰州,国内
MU2338,320,1234567,乌鲁木齐,1845,2110,兰州,国内
MU2339,320,.2.4.6.,西安,1340,1510,呼和浩特,国内
MU2340,320,.2.4.6.,赤峰,1820,1930,呼和浩特,国内
MU2343,320,1234567,西安,1955,2120,成都,国内
MU2344,320,1234567,成都,2225,2340,西安,国内
MU2345,320,1234567,西安,1120,1155,延安,国内
MU2347,320,.2..5.7,虹桥,850,1015,九江,国内
MU2348,320,.2..5.7,九江,1100,1225,虹桥,国内
MU2349,320,1234567,西安,2230,2350,西宁,国内
MU2351,320,12...6.,兰州,745,1015,浦东,国内
MU2351,320,..345.7,兰州,745,1015,浦东,国内
MU2352,320,..345.7,浦东,1115,1420,兰州,国内
MU2352,320,12...6.,浦东,1115,1420,兰州,国内
MU2353,320,1234567,兰州,1915,2145,虹桥,国内
MU2354,320,1234567,虹桥,1520,1835,兰州,国内
MU2357,320,.2.4.6.,宁波,1405,1610,西安,国内
MU2358,320,.2.4.6.,西宁,1910,2025,西安,国内
MU2359,320,1.3.5.7,西宁,720,935,昆明,国内
MU2360,320,1.3.5.7,昆明,1040,1250,西宁,国内
MU2369,320,1.3.5.7,兰州,1055,1305,南京,国内
MU2370,320,1.3.5.7,南京,1405,1620,兰州,国内
MU2371,320,1.3.5.7,西安,1340,1510,呼和浩特,国内
MU2372,320,1.3.5.7,通辽,1820,2000,呼和浩特,国内
MU2379,320,1234567,西安,1755,1950,杭州,国内
MU2380,320,1234567,杭州,2045,2305,西安,国内
MU2385,320,1.3.5.7,合肥,1500,1645,西安,国内
MU2386,320,1.3.5.7,西宁,1950,2105,西安,国内
MU2387,320,12...6.,西安,750,945,南京,国内
MU2387,320,..345.7,西安,750,945,南京,国内
MU2388,320,..345.7,南京,1045,1245,西安,国内
MU2388,320,12...6.,南京,1045,1245,西安,国内
MU2389,320,.2.4.6.,合肥,1500,1645,西安,国内
MU2390,320,.2.4.6.,银川,1955,2105,西安,国内
MU2393,320,1.3.5.7,宁波,1405,1610,西安,国内
MU2394,320,1.3.5.7,银川,1920,2025,西安,国内
MU2395,320,1234567,宁波,1355,1605,重庆,国内
MU2396,320,1234567,重庆,1705,1905,宁波,国内
MU2397,320,1234567,乌鲁木齐,750,1055,西安,国内
MU2398,320,1234567,长春,1725,2125,西安,国内
MU2403,320,1234567,虹桥,1355,1610,太原,国内
MU2411,320,1234567,兰州,805,1020,北京,国内
MU2412,320,1234567,北京,1120,1350,兰州,国内
MU2413,320,1234567,兰州,1830,1950,成都,国内
MU2414,320,1234567,成都,1635,1750,兰州,国内
MU2415,320,1234567,兰州,1505,1715,北京,国内
MU2416,320,1234567,北京,1845,2110,兰州,国内
MU2417,320,1234567,嘉峪关,1650,1800,兰州,国内
MU2418,320,123456,北京,2225,55,兰州,国内
MU2418,320,......7,北京,2230,55,兰州,国内
MU2429,320,1234567,济南,725,850,西安,国内
MU2430,320,1234567,西安,1030,1155,济南,国内
MU2431,320,1234567,西安,2220,2330,张家界,国内
MU2432,320,1234567,张家界,2355,125,西安,国内
MU2441,320,1234567,宁波,835,1005,郑州,国内
MU2442,320,1234567,乌鲁木齐,1600,1940,郑州,国内
MU2443,320,1234567,西宁,1630,1845,北京,国内
MU2444,320,1234567,北京,2105,2345,西宁,国内
MU2447,320,.2.4.6.,西安,1200,1340,张掖,国内
MU2448,320,.2.4.6.,张掖,1450,1625,西安,国内
MU2449,320,1234567,北京,1150,1315,大连,国内
MU2450,320,1234567,大连,1655,1810,北京,国内
MU2467,320,1234567,北京,810,1015,哈尔滨,国内
MU2468,320,1234567,加格达奇,1330,1445,哈尔滨,国内
MU2547,320,1234567,宁波,755,925,武汉,国内
MU2548,320,1234567,西安,1235,1345,武汉,国内
MU2667,320,1234567,厦门,1150,1305,杭州,国内
MU2668,320,1234567,临沂,1610,1715,杭州,国内
MU5647,320,1234567,虹桥,1915,2025,武夷山,国内
MU5648,320,1234567,武夷山,2120,2230,虹桥,国内
MU5649,320,1234567,浦东,815,1055,海口,国内
MU5650,320,1234567,海口,1145,1420,浦东,国内
MU5651,320,1234567,浦东,1120,1420,延吉,国内
MU5652,320,1234567,延吉,1505,1805,浦东,国内
MU5655,320,1234567,杭州,735,1040,昆明,国内
MU5656,320,1234567,昆明,1140,1430,杭州,国内
MU5657,320,1234567,浦东,1700,1850,邯郸,国内
MU5658,320,1234567,邯郸,1930,2120,浦东,国内
MU5659,320,1234567,浦东,2200,2345,大连,国内
MU5660,320,1234567,大连,725,915,浦东,国内
MU5663,320,1234567,虹桥,920,1055,厦门,国内
MU5664,320,1234567,厦门,2025,2145,虹桥,国内
MU5665,320,1234567,虹桥,1025,1200,厦门,国内
MU5666,320,1234567,厦门,1255,1425,虹桥,国内
MU5667,320,.2.4.6.,浦东,810,955,大连,国内
MU5668,320,.2.4.6.,伊春,1345,1545,大连,国内
MU5671,320,1234567,杭州,745,930,青岛,国内
MU5672,320,1234567,延吉,1300,1500,青岛,国内
MU5679,320,......7,浦东,1030,1255,长春,国内
MU5680,320,......7,长春,1350,1620,浦东,国内
MU5683,320,1234567,浦东,1125,1355,长春,国内
MU5684,320,1234567,长春,1445,1710,浦东,国内
MU5685,320,.2...6.,乌鲁木齐,900,950,库尔勒,国内
MU5685,320,1.345.7,乌鲁木齐,935,1025,库尔勒,国内
MU5686,320,1.345.7,库尔勒,1115,1205,乌鲁木齐,国内
MU5686,320,.2...6.,库尔勒,1030,1120,乌鲁木齐,国内
MU5687,320,.234.67,浦东,1630,2135,乌鲁木齐,国内
MU5688,320,..34..7,乌鲁木齐,1300,1715,浦东,国内
MU5688,320,1...5..,乌鲁木齐,1250,1700,浦东,国内
MU5689,320,1234567,虹桥,1255,1535,呼和浩特,国内
MU5690,320,1234567,锡林浩特,1825,1925,呼和浩特,国内
MU5696,320,1234567,洛阳,1030,1155,北京,国内
MU5696,320,12.4567,洛阳,1940,2105,北京,国内
MU5697,320,1234567,浦东,2115,2345,长春,国内
MU5698,320,1234567,长春,800,1025,浦东,国内
MU5699,320,..3.5.7,北京,755,950,洛阳,国内
MU5699,320,12.4567,北京,1800,1940,洛阳,国内
MU5699,320,.2.4.6.,北京,805,950,洛阳,国内
MU5699,320,1......,北京,745,940,洛阳,国内
MU5700,320,1234567,洛阳,1540,1715,北京,国内
MU9603,320,12345.7,柳州,1240,1405,重庆,国内
MU2705,320,1234567,南京,745,910,长沙,国内
MU2706,320,1234567,昆明,1240,1430,长沙,国内
MU2707,320,1234567,南京,1950,2130,张家界,国内
MU2708,320,1234567,张家界,2215,2345,南京,国内
MU2711,320,1.3.5.7,南京,1250,1500,赤峰,国内
MU2712,320,1.3.5.7,哈尔滨,1820,1930,赤峰,国内
MU2715,320,1234567,南京,1330,1455,长沙,国内
MU2716,320,1234567,昆明,1825,2015,长沙,国内
MU2719,320,..3..6.,常州,740,930,张家界,国内
MU2719,320,12.45.7,常州,740,930,张家界,国内
MU2720,320,12.45.7,张家界,1020,1210,常州,国内
MU2720,320,..3..6.,张家界,1020,1210,常州,国内
MU2723,320,..3...7,无锡,2030,2250,西宁,国内
MU2724,320,..3...7,西宁,2350,155,无锡,国内
MU2725,320,1234567,南京,1550,1755,重庆,国内
MU2726,320,1234567,昆明,2115,2230,重庆,国内
MU2737,320,1234567,南京,1950,2150,桂林,国内
MU2738,320,1234567,桂林,2250,45,南京,国内
MU2739,320,1234567,南京,740,925,太原,国内
MU2740,320,1234567,太原,1015,1200,南京,国内
MU2741,320,.2.4.6.,南京,1030,1210,运城,国内
MU2741,320,1.3.5.7,南京,1030,1210,运城,国内
MU2742,320,1.3.5.7,运城,2130,2310,南京,国内
MU2742,320,.2.4.6.,运城,2130,2310,南京,国内
MU2749,320,1234567,南京,1430,1645,兰州,国内
MU2750,320,1234567,敦煌,1955,2130,兰州,国内
MU2751,320,1234567,北京,640,800,大连,国内
MU2752,320,1234567,大连,2325,45,北京,国内
MU2755,320,1234567,南京,740,850,南昌,国内
MU2756,320,1234567,贵阳,1150,1330,南昌,国内
MU2757,320,1234567,南京,810,1030,南宁,国内
MU2758,320,1234567,南宁,1110,1320,南京,国内
MU2759,320,1234567,南京,1450,1600,郑州,国内
MU2760,320,1234567,西宁,1920,2100,郑州,国内
MU2761,320,1234567,常州,740,935,北京,国内
MU2762,320,1234567,北京,2210,5,常州,国内
MU2767,320,1234567,南京,740,905,石家庄,国内
MU2768,320,1234567,呼和浩特,1135,1230,石家庄,国内
MU2769,320,1234567,南京,750,945,西安,国内
MU2770,320,0.234567,乌鲁木齐,1500,1805,西安,国内
MU2770,320,1......,乌鲁木齐,1500,1805,西安,国内
MU2777,320,1234567,南京,1855,2145,三亚,国内
MU2779,320,1...5..,南京,1720,2150,乌鲁木齐,国内
MU2779,320,.234.67,南京,1720,2200,乌鲁木齐,国内
MU2780,320,1234567,伊宁,800,905,乌鲁木齐,国内
MU2781,320,.2.4.6.,北京,1815,2020,鸡西,国内
MU2782,320,.2.4.6.,鸡西,2050,2305,北京,国内
MU2789,320,.2.4...,南京,1345,1610,银川,国内
MU2789,320,1.3.567,南京,1345,1610,银川,国内
MU2790,320,1.3.567,乌鲁木齐,2030,2250,银川,国内
MU2790,320,.2.4...,乌鲁木齐,2030,2250,银川,国内
MU2791,320,.2.4.6.,南京,1540,1705,大连,国内
MU2791,320,1.3.5.7,南京,1540,1705,大连,国内
MU2792,320,1234567,海拉尔,2045,2255,大连,国内
MU2797,320,1234567,南京,2030,2250,西宁,国内
MU2798,320,1234567,西宁,2350,150,南京,国内
MU2802,320,.234.67,北京,750,945,南京,国内
MU2802,320,1...5..,北京,655,900,南京,国内
MU2807,320,1234567,南京,800,955,广州,国内
MU2808,320,1234567,广州,1105,1310,南京,国内
MU2809,320,1234567,南京,750,930,厦门,国内
MU2810,320,1234567,厦门,2045,2220,南京,国内
MU2812,320,1234567,北京,1050,1245,南京,国内
MU2815,320,1234567,南京,1430,1700,成都,国内
MU2816,320,1234567,成都,1750,2000,南京,国内
MU2821,320,1234567,南京,1300,1510,北京,国内
MU2822,320,1234567,北京,1140,1340,南京,国内
MU2825,320,1234567,成都,1130,1335,南京,国内
MU2826,320,1234567,大连,1645,1820,南京,国内
MU2827,320,.2...6.,南京,1055,1300,通辽,国内
MU2827,320,...4...,南京,1055,1300,通辽,国内
MU2828,320,.2.4.6.,哈尔滨,1615,1705,通辽,国内
MU2831,320,12.4567,南京,1500,1650,北京,国内
MU2832,320,.2.4.67,北京,1550,1750,南京,国内
MU2835,320,1234567,南京,1715,1830,郑州,国内
MU2836,320,1234567,乌鲁木齐,745,1130,郑州,国内
MU2837,320,1234567,大连,940,1120,南京,国内
MU2838,320,1234567,遵义,1550,1830,南京,国内
MU2849,320,123.567,南京,1700,1835,厦门,国内
MU2849,320,...4...,南京,1700,1835,厦门,国内
MU2850,320,1234567,厦门,1930,2100,南京,国内
MU2851,320,..3....,南京,1855,2105,北京,国内
MU2861,320,1.3.5.7,南京,2010,2220,北京,国内
MU2867,320,1234567,南京,800,1005,深圳,国内
MU2871,320,1.3.5.7,北京,1815,2020,无锡,国内
MU2872,320,1.3.5.7,无锡,2110,2305,北京,国内
MU2873,320,1.3.5.7,运城,1245,1410,武汉,国内
MU2874,320,1.3.5.7,厦门,1710,1840,武汉,国内
MU2881,320,1234567,南京,730,830,浦东,国内
MU2882,320,1234567,浦东,2130,2230,南京,国内
MU2883,320,12.4567,北京,1800,1930,通辽,国内
MU2883,320,.2.4.6.,北京,805,935,通辽,国内
MU2883,320,..3.5.7,北京,755,925,通辽,国内
MU2883,320,1......,北京,745,915,通辽,国内
MU2884,320,1234567,通辽,1020,1155,北京,国内
MU2884,320,12.4567,通辽,1940,2105,北京,国内
MU2887,320,1234567,南京,1440,1645,深圳,国内
MU2888,320,1234567,深圳,1740,1935,南京,国内
MU2891,320,1234567,厦门,1030,1200,南京,国内
MU2892,320,1234567,包头,1540,1730,南京,国内
MU2903,320,1234567,常州,745,935,重庆,国内
MU2904,320,1234567,重庆,2055,2250,常州,国内
MU2905,320,1234567,无锡,750,1035,成都,国内
MU2906,320,1234567,成都,1120,1340,无锡,国内
MU2907,320,12345.7,无锡,755,1005,广州,国内
MU2907,320,.....6.,无锡,755,1005,广州,国内
MU2913,320,1234567,常州,740,945,桂林,国内
MU2914,320,1234567,桂林,1030,1230,常州,国内
MU2925,320,..3.5.7,无锡,1750,2025,成都,国内
MU2926,320,..3.5.7,成都,2125,2345,无锡,国内
MU2927,320,1234567,无锡,1425,1630,广州,国内
MU2928,320,1234567,广州,1730,1940,无锡,国内
MU2947,320,1234567,淮安,1915,2015,虹桥,国内
MU2948,320,1234567,虹桥,2105,2220,淮安,国内
MU2955,320,1234567,无锡,730,925,西安,国内
MU2956,320,1234567,兰州,1155,1255,西安,国内
MU2957,320,.234.67,常州,725,910,西安,国内
MU2958,320,.234.67,银川,1245,1345,西安,国内
MU2959,320,1...5..,常州,725,910,西安,国内
MU2960,320,1...5..,兰州,1240,1345,西安,国内
MU2965,320,1234567,无锡,1425,1555,长沙,国内
MU2966,320,1234567,贵阳,1850,1950,长沙,国内
MU2969,320,1234567,重庆,1030,1230,常州,国内
MU2970,320,1234567,大连,1535,1710,常州,国内
MU2973,320,1234567,常州,1320,1450,厦门,国内
MU2974,320,1234567,厦门,1550,1740,常州,国内
MU2975,320,1234567,无锡,745,955,重庆,国内
MU2976,320,1234567,昆明,1250,1410,重庆,国内
MU2985,320,1234567,无锡,1430,1645,重庆,国内
MU2986,320,1234567,昆明,2005,2110,重庆,国内
MU2987,320,1234567,无锡,1640,1900,深圳,国内
MU2988,320,1234567,深圳,2020,2220,无锡,国内
MU2993,320,1234567,赣州,2015,2145,虹桥,国内
MU2994,320,1234567,虹桥,1745,1930,赣州,国内
MU2995,320,1234567,无锡,1745,1955,重庆,国内
MU2996,320,1234567,昆明,840,1000,重庆,国内
MU5131,320,1234567,杭州,730,945,北京,国内
MU5132,320,1234567,北京,1055,1315,杭州,国内
MU5135,320,......7,烟台,1335,1450,北京,国内
MU5135,320,.2.....,烟台,1355,1515,北京,国内
MU5135,320,1.3456.,烟台,1355,1510,北京,国内
MU5136,320,1234567,北京,2215,2335,烟台,国内
MU5141,320,1234567,北京,1950,2140,哈尔滨,国内
MU5142,320,1234567,哈尔滨,2230,30,北京,国内
MU5143,320,1234567,合肥,1230,1340,长沙,国内
MU5144,320,1234567,南宁,1715,1835,长沙,国内
MU5151,320,1.3.5..,浦东,1030,1230,石家庄,国内
MU5152,320,1.3.5..,秦皇岛,1500,1600,石家庄,国内
MU5157,320,1234567,杭州,815,1025,太原,国内
MU5158,320,1234567,太原,1115,1315,杭州,国内
MU5169,320,1234567,合肥,830,1015,北京,国内
MU5170,320,1234567,北京,1120,1315,合肥,国内
MU5171,320,1234567,黄山,1650,1735,合肥,国内
MU5172,320,1234567,北京,2135,2320,合肥,国内
MU5173,320,1234567,南昌,740,940,北京,国内
MU5174,320,1234567,北京,1035,1250,南昌,国内
MU5175,320,1234567,南昌,1910,2120,北京,国内
MU5176,320,1234567,北京,2235,45,南昌,国内
