Flight No,Type,Date,Origin,Departure Time,Arrival Time,Destination,IsDome
CA195/6,A340,1234567,上海浦东,1435-,1635-,桃园,港澳
CA189/90,B777-200,...4...,北京首都,1410-,1710-,桃园,港澳
CA189/90,B777-200,12...6.,北京首都,1410-,1710-,桃园,港澳
CA109/10,A330,1234567,北京首都,1300-,1625-,香港,港澳
CA185/6,A330-300,1234567,北京首都,0835-,1145-,桃园,港澳
CA101/2,A321,...4...,北京首都,0800-,1135-,香港,港澳
CA101/2,A321,1....6.,北京首都,0800-,1135-,香港,港澳
CA101/2,A321,.2....7,北京首都,0800-,1135-,香港,港澳
CA101/2,A321,..3....,北京首都,0800-,1135-,香港,港澳
CA101/2,A321,....5..,北京首都,0800-,1135-,香港,港澳
CA107/8,A321,...4...,北京首都,1830-,2200-,香港,港澳
CA107/8,A321,123.5..,北京首都,1830-,2200-,香港,港澳
CA107/8,A321,.....67,北京首都,1830-,2200-,香港,港澳
CA111,A321,1234567,北京首都,0930-,1305-,香港,港澳
CA112,A321,1234567,香港,1720-,2040-,北京首都,港澳
CA115/6,A321,1234567,北京首都,1535-,1900-,香港,港澳
CA117/8,A321,1234567,北京首都,1730-,2105-,香港,港澳
CA417/8,A321,.2.4.67,成都,1420-,1740-,桃园,港澳
CA103/4,B737-800,1234567,天津,0835-,1150-,香港,港澳
CA105/6,B737-800,1234567,大连,1255-,1625-,香港,港澳
CA135/6,B737-800,1234567,北京首都,0730-,1115-,香港,港澳
CA187/8,B737-800,....5.7,天津,1555-,1905-,台北松山,港澳
CA197/8,B737-800,.2.456.,上海虹桥,1200-,1400-,台北松山,港澳
CA409/10,B737-800,.23.567,重庆,1520-,1820-,桃园,港澳
CA875/6,B737-800,1234567,北京首都,0605-,0940-,香港,港澳
CA119/20,A320,...4...,武汉,1435-,1610-,澳门,港澳
CA119/20,A320,.2..5.7,武汉,1435-,1610-,澳门,港澳
CA149/50,A320,1234567,杭州,0930-,1120-,桃园,港澳
CA141/2,B737-700,.2.....,天津,0830-,1140-,台中,港澳
CA419/20,B737-700,1234567,重庆,1510-,1720-,香港,港澳
CA427/8,B737-300,1234567,成都,1620-,1845-,香港,港澳
CA411/2,A319,...4.6.,成都,0755-,1010-,香港,港澳
CA411/2,A319,123.5.7,成都,0755-,1010-,香港,港澳
CA1003,B747-400F,1234567,上海浦东,0020-,0255-,香港,港澳
CA1004,B747-400F,..3.5.7,香港,0450-,0635-,上海浦东,港澳
CA1004,B747-400F,12.4.6.,香港,0455-,0640-,上海浦东,港澳
CA1091,B747-400F,.....6.,上海浦东,0020-,0205-,桃园,港澳
CA1091,B747-400F,1.3....,上海浦东,0040-,0225-,桃园,港澳
CA1092,B747-400F,1.3....,桃园,0440-,0625-,上海浦东,港澳
CA1092,B747-400F,.....6.,桃园,0420-,0605-,上海浦东,港澳
CZ3011/2,A321,1..4.6.,沈阳,1500-,1805-,桃园,港澳
CZ3087/8,A321,1.34567,深圳,0950-,1135-,桃园,港澳
CZ3095/6,A321,1.34567,上海浦东,1520-,1715-,桃园,港澳
CZ3097/8,A321,1234567,广州,1130-,1330-,桃园,港澳
CZ3015/6,B737-800,....5..,武汉,1420-,1655-,桃园,港澳
CZ3021/2,B737-800,1.3456.,贵阳,1620-,1850-,桃园,港澳
CZ3023/4,B737-800,1.3.5.7,郑州,0820-,1050-,桃园,港澳
CZ3031/2,B737-800,1234567,桂林,1550-,1710-,香港,港澳
CZ3045/6,B737-800,.2.4.6.,南宁,1740-,2020-,桃园,港澳
CZ3075/6,B737-800,1234567,武汉,0845-,1040-,香港,港澳
CZ3089/90,B737-800,1234567,南宁,1800-,1920-,香港,港澳
CZ311/2,B737-800,1234567,揭阳潮汕,0920-,1015-,香港,港澳
CZ3009/10,A320,1.3.5..,哈尔滨,0800-,1130-,桃园,港澳
CZ3017/8,A320,12..5..,长沙,1230-,1450-,桃园,港澳
CZ3019/20,B737-700,1.345.7,桂林,1645-,1845-,桃园,港澳
CZ3019/20,B737-700,1.345.7,桂林,0830-,1030-,桃园,港澳
