Flight No,Type,Date,Origin,Departure Time,Arrival Time,Destination,IsDome
CA112,B777-300,1234567,香港,2020-,2320-,北京首都,港澳
CA195,A340,1234567,上海浦东,1430-,1625-,桃园,港澳
CA196,A340,1234567,桃园,1745-,1945-,上海浦东,港澳
CA109,A330,1234567,北京首都,1300-,1625-,香港,港澳
CA110,A330,1.345..,香港,2055-,2355-,北京首都,港澳
CA110,A330,.2...67,香港,1935-,2235-,北京首都,港澳
CA185,A330-300,1234567,北京首都,0830-,1140-,桃园,港澳
CA189,A330-300,12.4.6.,北京首都,1400-,1715-,桃园,港澳
CA190,A330-300,12.4.6.,桃园,1845-,2215-,北京首都,港澳
CA101,A321,1234567,北京首都,0800-,1125-,香港,港澳
CA102,A321,..3..6.,香港,2035-,2335-,北京首都,港澳
CA102,A321,12.45.7,香港,1900-,2205-,北京首都,港澳
CA107,A321,1234567,北京首都,1830-,2205-,香港,港澳
CA108,A321,1......,香港,2025-,2325-,北京首都,港澳
CA108,A321,..3....,香港,1505-,1805-,北京首都,港澳
CA108,A321,.....67,香港,2015-,2315-,北京首都,港澳
CA108,A321,....5..,香港,1925-,2225-,北京首都,港澳
CA108,A321,...4...,香港,1735-,2045-,北京首都,港澳
CA111,A321,1234567,北京首都,0930-,1305-,香港,港澳
CA115,A321,1234567,北京首都,1530-,1850-,香港,港澳
CA116,A321,1234567,香港,2000-,2310-,北京首都,港澳
CA117,A321,1234567,北京首都,1730-,2050-,香港,港澳
CA118,A321,1234567,香港,0645-,0945-,北京首都,港澳
CA119,A321,1234567,武汉,1430-,1610-,澳门,港澳
CA120,A321,1234567,澳门,1710-,1905-,武汉,港澳
CA417,A321,.2.4.67,成都,1530-,1725-,桃园,港澳
CA418,A321,.2.4.67,桃园,1825-,2335-,成都,港澳
CA103,B737-800,1234567,天津,0835-,1200-,香港,港澳
CA104,B737-800,1234567,香港,1300-,1605-,天津,港澳
CA105,B737-800,1234567,大连,1255-,1625-,香港,港澳
CA106,B737-800,1234567,香港,1725-,2100-,大连,港澳
CA108,B737-800,.2.....,香港,2035-,2335-,北京首都,港澳
CA186,B737-800,.234.6.,桃园,1925-,2225-,北京首都,港澳
CA186,B737-800,1...5.7,桃园,1855-,2155-,北京首都,港澳
CA187,B737-800,....5.7,天津,1445-,1745-,台北松山,港澳
CA188,B737-800,....5.7,台北松山,1845-,2145-,天津,港澳
CA197,B737-800,.2.456.,上海虹桥,1200-,1400-,台北松山,港澳
CA198,B737-800,.2.456.,台北松山,1500-,1650-,上海虹桥,港澳
CA409,B737-800,.23.567,重庆,1520-,1820-,桃园,港澳
CA410,B737-800,.23.567,桃园,1920-,2230-,重庆,港澳
CA709,B737-800,1234567,天津,1345-,1715-,香港,港澳
CA710,B737-800,1234567,香港,1815-,2125-,天津,港澳
CA149,A320,1234567,杭州,0930-,1120-,桃园,港澳
CA150,A320,1234567,桃园,1220-,1410-,杭州,港澳
CA141,B737-700,.2.....,天津,0825-,1140-,台中,港澳
CA142,B737-700,.2.....,台中,1240-,1550-,天津,港澳
CA419,B737-700,1234567,重庆,1510-,1725-,香港,港澳
CA420,B737-700,1234567,香港,1825-,2030-,重庆,港澳
CA427,B737-300,1234567,成都,1605-,1825-,香港,港澳
CA428,B737-300,1234567,香港,1925-,2210-,成都,港澳
CA411,A319,1234567,成都,0820-,1010-,香港,港澳
CA412,A319,1234567,香港,1110-,1425-,成都,港澳
CA835,A319,1.3..6.,温州,1340-,1500-,桃园,港澳
CA836,A319,1.3..6.,桃园,1600-,1710-,温州,港澳
CA1003,B747-400F,1234567,上海浦东,0010-,0255-,香港,港澳
CA1004,B747-400F,1234567,香港,0455-,0725-,上海浦东,港澳
CA1091,B747-400F,.2.45..,上海浦东,2310-,0055-,桃园,港澳
CA1092,B747-400F,..3.56.,桃园,0315-,0450-,上海浦东,港澳
CZ3097,B777-200,1234567,广州,1130-,1330-,桃园,港澳
CZ3098,B777-200,1234567,桃园,1430-,1635-,广州,港澳
CZ639,B757-200,1..4.6.,乌鲁木齐,1755-,2315-,桃园,港澳
CZ640,B757-200,.2..5.7,桃园,0045-,0710-,乌鲁木齐,港澳
CZ3011,A321,1..4.6.,沈阳,1500-,1805-,桃园,港澳
CZ3012,A321,1..4.6.,桃园,1905-,2155-,沈阳,港澳
CZ3013,A321,..3...7,大连,1455-,1745-,桃园,港澳
CZ3014,A321,..3...7,桃园,1845-,2120-,大连,港澳
CZ3087,A321,1.34567,深圳,1025-,1215-,桃园,港澳
CZ3088,A321,1.34567,桃园,1335-,1500-,深圳,港澳
CZ309,A321,1234567,香港,1320-,1625-,北京首都,港澳
CZ3095,A321,.2.....,上海浦东,1415-,1610-,桃园,港澳
CZ3095,A321,1.34567,上海浦东,1415-,1610-,桃园,港澳
CZ3096,A321,.2.....,桃园,1705-,1910-,上海浦东,港澳
CZ3096,A321,1.34567,桃园,1705-,1910-,上海浦东,港澳
CZ310,A321,1234567,北京首都,0905-,1220-,香港,港澳
CZ3015,B737-800,....5..,武汉,1405-,1630-,桃园,港澳
CZ3016,B737-800,....5..,桃园,1730-,2000-,武汉,港澳
CZ3019,B737-800,1.345.7,桂林,1700-,1900-,桃园,港澳
CZ3020,B737-800,1.345.7,桃园,1955-,2155-,桂林,港澳
CZ3021,B737-800,1.3456.,贵阳,0830-,1100-,桃园,港澳
CZ3022,B737-800,1.3456.,桃园,1210-,1440-,贵阳,港澳
CZ3023,B737-800,1.3.5.7,郑州,0820-,1050-,桃园,港澳
CZ3024,B737-800,1.3.5.7,桃园,1150-,1420-,郑州,港澳
CZ3045,B737-800,.2.4.6.,南宁,1245-,1525-,桃园,港澳
CZ3046,B737-800,.2.4.6.,桃园,1635-,1915-,南宁,港澳
CZ3075,B737-800,1234567,武汉,0840-,1025-,香港,港澳
CZ3076,B737-800,1234567,香港,1125-,1320-,武汉,港澳
CZ3093,B737-800,.2.4..7,武汉,1435-,1715-,高雄,港澳
CZ3094,B737-800,.2.4..7,高雄,1815-,2115-,武汉,港澳
CZ311,B737-800,1234567,揭阳潮汕,0910-,1005-,香港,港澳
CZ312,B737-800,1234567,香港,1105-,1200-,揭阳潮汕,港澳
CZ3009,A320,1...5..,哈尔滨,0800-,1130-,桃园,港澳
CZ3009,A320,..3....,哈尔滨,0800-,1130-,桃园,港澳
CZ3010,A320,..3....,桃园,1230-,1600-,哈尔滨,港澳
CZ3010,A320,1...5..,桃园,1230-,1600-,哈尔滨,港澳
CZ3017,A320,12..5..,长沙,1230-,1450-,桃园,港澳
CZ3018,A320,12..5..,桃园,1550-,1800-,长沙,港澳
CZ633,A320,1234567,长春,1040-,1445-,广州,港澳
CZ634,A320,1234567,香港,1840-,1950-,广州,港澳
CZ635,A320,..3.5.7,沈阳,1500-,1900-,香港,港澳
CZ636,A320,..3.5.7,香港,2000-,2355-,沈阳,港澳
CZ3073,B737-300,1234567,郑州,0830-,1105-,香港,港澳
CZ3074,B737-300,1234567,香港,1205-,1430-,郑州,港澳
CZ3051,A319,1..4.6.,长春,0750-,1120-,桃园,港澳
CZ3052,A319,1..4.6.,桃园,1220-,1545-,长春,港澳
CZ6049,A319,..3....,长春,0750-,1120-,台中,港澳
CZ6050,A319,..3....,台中,1220-,1545-,长春,港澳
CZ341,EMB190,1...5..,梅州,1250-,1415-,香港,港澳
CZ342,EMB190,1...5..,香港,1505-,1605-,梅州,港澳
MU5005,A330-200,...4...,上海浦东,1600-,1740-,桃园,港澳
MU5005,A330-200,.....6.,上海浦东,0810-,1000-,桃园,港澳
MU5005,A330-200,1.3...7,上海浦东,1555-,1740-,桃园,港澳
MU5005,A330-200,....5..,上海浦东,1555-,1740-,桃园,港澳
MU5006,A330-200,....5..,桃园,1840-,2025-,上海浦东,港澳
MU5006,A330-200,1.3...7,桃园,1840-,2025-,上海浦东,港澳
MU5007,A330-200,1234567,上海浦东,1230-,1400-,桃园,港澳
MU5008,A330-200,1234567,桃园,1500-,1640-,上海浦东,港澳
MU5006,A330-300,...4.6.,桃园,1840-,2030-,上海浦东,港澳
MU5097,A330-300,1234567,上海虹桥,1420-,1615-,台北松山,港澳
MU5098,A330-300,1234567,台北松山,1715-,1920-,上海虹桥,港澳
MU721,A330-300,1234567,上海虹桥,0900-,1130-,香港,港澳
MU722,A330-300,1234567,香港,1230-,1510-,上海虹桥,港澳
MU5001,A321,1234567,南京,1430-,1620-,桃园,港澳
MU5002,A321,1234567,桃园,1720-,1910-,南京,港澳
MU509,A321,1234567,上海浦东,1455-,1735-,香港,港澳
MU510,A321,1234567,香港,1835-,2115-,上海浦东,港澳
MU2027,B737-800,.2.4.6.,昆明,0715-,1010-,桃园,港澳
MU2028,B737-800,.2.4.6.,桃园,1150-,1515-,昆明,港澳
MU5027,B737-800,1234567,温州,1205-,1400-,香港,港澳
MU5028,B737-800,1234567,香港,1455-,1640-,温州,港澳
MU5089,B737-800,1...5..,太原,0855-,1150-,香港,港澳
MU5090,B737-800,1...5..,香港,1250-,1530-,太原,港澳
MU2007,A320,1234567,上海浦东,1225-,1500-,澳门,港澳
MU2008,A320,1234567,澳门,1600-,1810-,上海浦东,港澳
MU2009,A320,1234567,宁波,0900-,1020-,桃园,港澳
MU2010,A320,1234567,桃园,1115-,1240-,宁波,港澳
MU203,A320,.....6.,西安,1105-,1325-,香港,港澳
MU203,A320,.234..7,西安,1105-,1335-,香港,港澳
MU2037,A320,..3..6.,西安,0845-,1200-,桃园,港澳
MU2038,A320,..3..6.,桃园,1300-,1630-,西安,港澳
MU204,A320,.....6.,香港,1435-,1715-,西安,港澳
MU204,A320,.234..7,香港,1435-,1715-,西安,港澳
MU2041,A320,....5..,青岛,1030-,1255-,桃园,港澳
MU2042,A320,....5..,桃园,1405-,1635-,青岛,港澳
MU2047,A320,...4...,南昌,1345-,1525-,桃园,港澳
MU2047,A320,1....6.,南昌,0830-,1020-,桃园,港澳
MU2048,A320,...4...,桃园,1625-,1805-,南昌,港澳
MU2048,A320,1....6.,桃园,1645-,1830-,南昌,港澳
MU2049,A320,1.3.5..,合肥,0835-,1035-,桃园,港澳
MU2049,A320,......7,合肥,0910-,1110-,桃园,港澳
MU2050,A320,......7,桃园,1210-,1400-,合肥,港澳
MU2050,A320,1.3.5..,桃园,1155-,1350-,合肥,港澳
MU2071,A320,.2...6.,香港,1120-,1330-,盐城,港澳
MU2072,A320,.2...6.,盐城,1410-,1705-,香港,港澳
MU215,A320,1...5..,银川,0900-,1000-,西安,港澳
MU216,A320,1...5..,香港,1435-,1715-,西安,港澳
MU2201,A320,.2.....,银川,1445-,1815-,桃园,港澳
MU2202,A320,.2.....,桃园,1915-,2315-,银川,港澳
MU2901,A320,1234567,无锡,0810-,1040-,香港,港澳
MU2902,A320,1234567,香港,1140-,1340-,无锡,港澳
MU2931,A320,1234567,无锡,1400-,1610-,桃园,港澳
MU2932,A320,1234567,桃园,1720-,1905-,无锡,港澳
MU2941,A320,.....6.,南京,0820-,1010-,台中,港澳
MU2942,A320,.....6.,台中,1100-,1300-,南京,港澳
MU2961,A320,.....6.,无锡,0830-,1020-,桃园,港澳
MU2962,A320,.....6.,桃园,1120-,1300-,无锡,港澳
MU2971,A320,.....6.,盐城,1350-,1535-,桃园,港澳
MU2971,A320,1......,盐城,1350-,1535-,桃园,港澳
MU2972,A320,1......,桃园,1120-,1300-,盐城,港澳
MU2972,A320,.....6.,桃园,1130-,1300-,盐城,港澳
MU2981,A320,1......,南京,0855-,1050-,桃园,港澳
MU2982,A320,1......,桃园,1140-,1330-,南京,港澳
MU501,A320,....5..,上海浦东,0855-,1130-,香港,港澳
MU501,A320,1234.6.,上海浦东,0900-,1130-,香港,港澳
MU501,A320,......7,上海浦东,0900-,1130-,香港,港澳
MU5017,A320,.2..5..,南昌,1130-,1310-,香港,港澳
MU5018,A320,.2..5..,香港,1410-,1540-,南昌,港澳
MU502,A320,1234567,香港,1230-,1445-,上海浦东,港澳
MU503,A320,....5..,上海浦东,1200-,1435-,香港,港澳
MU503,A320,1234.67,上海浦东,1155-,1435-,香港,港澳
MU5031,A320,...4...,合肥,0805-,0950-,香港,港澳
MU5031,A320,.2...6.,合肥,0805-,0950-,香港,港澳
MU5032,A320,.2.4.6.,香港,1050-,1250-,合肥,港澳
MU5039,A320,..3..6.,烟台,1240-,1550-,香港,港澳
MU504,A320,.2.4...,香港,1535-,1755-,上海浦东,港澳
MU504,A320,1.3.567,香港,1535-,1800-,上海浦东,港澳
MU5040,A320,..3..6.,香港,1700-,1950-,烟台,港澳
MU505,A320,1234567,上海浦东,1700-,1920-,香港,港澳
MU506,A320,1234567,香港,2020-,2230-,上海浦东,港澳
MU5095,A320,...4..7,石家庄,1515-,1250-,桃园,港澳
MU5096,A320,...4..7,桃园,1350-,2210-,石家庄,港澳
MU5099,A320,..3..6.,徐州,1015-,1225-,桃园,港澳
MU5100,A320,..3..6.,桃园,1335-,1550-,徐州,港澳
MU575,A320,..3....,福州,1250-,1355-,香港,港澳
MU575,A320,12.4567,福州,1300-,1415-,香港,港澳
MU576,A320,..3....,香港,1455-,1630-,福州,港澳
MU576,A320,12.4567,香港,1515-,1640-,福州,港澳
MU595,A320,1234567,杭州,1400-,1610-,香港,港澳
MU596,A320,1234567,香港,1710-,1900-,杭州,港澳
MU715,A320,1234567,宁波,0830-,1050-,香港,港澳
MU716,A320,1234567,香港,1155-,1345-,宁波,港澳
MU723,A320,1234567,上海浦东,1830-,2100-,香港,港澳
MU724,A320,1234567,香港,0900-,1125-,上海浦东,港澳
MU725,A320,1234567,上海浦东,2055-,2335-,香港,港澳
MU726,A320,1234567,香港,0725-,0950-,上海浦东,港澳
MU765,A320,1234567,南京,0800-,1020-,香港,港澳
MU768,A320,123.567,香港,1750-,1955-,南京,港澳
MU768,A320,...4...,香港,1120-,1330-,南京,港澳
MU2567,B737-700,......7,丽江,0905-,1215-,桃园,港澳
MU2567,B737-700,..3....,丽江,1050-,1400-,桃园,港澳
MU2568,B737-700,......7,桃园,1415-,1800-,丽江,港澳
MU2568,B737-700,..3....,桃园,1530-,1910-,丽江,港澳
MU2571,B737-700,..34...,丽江,1130-,1230-,昆明,港澳
